Table 340-46001 : Exchange Rates,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,
 , ,Australian Dollar,Canadian Dollar,Chinese Renminbi,Euro (1),Indian Rupee,Indonesian Rupiah,Japanese Yen,Korean Won,Malaysian Ringgit,New Taiwan Dollar,Philippine Peso,Pound Sterling,Singapore Dollar,South African Rand,Swiss Franc,Thai Baht,US Dollar
,,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency,HK dollar per unit of foreign currency
Year,Month,,,,,,,,,,,,,,,,,
1975,,6.47,4.86,2.6657,N.A.,N.A.,N.A.,0.0167,0.0098,N.A.,0.130,N.A.,10.90,2.08,N.A.,1.91,N.A.,4.939
1976,,6.00,4.98,2.5401,N.A.,N.A.,N.A.,0.0165,0.0099,N.A.,0.129,N.A.,8.86,1.99,N.A.,1.96,N.A.,4.904
1977,,5.16,4.39,2.5131,N.A.,N.A.,N.A.,0.0174,0.0096,N.A.,0.123,N.A.,8.14,1.91,N.A.,1.95,N.A.,4.662
1978,,5.36,4.11,2.7681,N.A.,N.A.,N.A.,0.0225,0.0096,N.A.,0.126,N.A.,9.00,2.06,N.A.,2.65,N.A.,4.685
1979,,5.59,4.27,3.1971,N.A.,N.A.,N.A.,0.0229,0.0103,N.A.,0.125,N.A.,10.64,2.30,N.A.,3.01,N.A.,5.003
1980,,5.69,4.26,3.3190,N.A.,N.A.,N.A.,0.0221,0.0083,N.A.,0.130,N.A.,11.60,2.33,N.A.,2.98,N.A.,4.976
1981,,6.43,4.67,3.2918,N.A.,N.A.,N.A.,0.0254,0.0082,N.A.,0.141,N.A.,11.31,2.65,N.A.,2.87,N.A.,5.593
1982,,6.18,4.93,3.2129,N.A.,N.A.,N.A.,0.0245,0.0083,N.A.,0.146,N.A.,10.64,2.85,N.A.,3.00,N.A.,6.072
1983,,6.58,5.92,3.6785,N.A.,N.A.,N.A.,0.0307,0.0093,N.A.,0.174,N.A.,11.06,3.45,N.A.,3.47,N.A.,7.273
1984,,6.89,6.05,3.3984,N.A.,N.A.,N.A.,0.0330,0.0097,N.A.,0.185,N.A.,10.47,3.67,N.A.,3.34,N.A.,7.818
1985,,5.48,5.72,2.6653,N.A.,N.A.,N.A.,0.0330,0.0090,N.A.,0.188,N.A.,10.15,3.55,N.A.,3.21,N.A.,7.791
1986,,5.24,5.63,2.2707,N.A.,N.A.,N.A.,0.0467,0.0089,N.A.,0.203,N.A.,11.48,3.59,N.A.,4.37,N.A.,7.803
1987,,5.47,5.89,2.0950,N.A.,N.A.,N.A.,0.0541,0.0095,N.A.,0.241,N.A.,12.80,3.71,N.A.,5.24,N.A.,7.798
